time,x,y,z
9982,.032,-.038,.074
10002,.050,-.010,.120
10020,.037,.006,.136
10040,.012,.004,.138
10064,-.040,-.005,.135
10090,-.110,-.006,.115
10098,-.180,-.007,.076
10123,-.220,-.002,.039
10137,-.215,.011,.010
10162,-.182,.026,-.014
10176,-.128,.043,-.011
10195,-.075,.051,.014
10213,-.028,.048,.061
10233,.015,.013,.111
10264,.057,-.031,.119
10283,.068,-.071,.096
10300,.011,-.103,.082
10314,-.103,-.128,.066
10333,-.174,-.147,.034
10354,-.146,-.136,.016
10380,-.038,-.105,.024
10398,.069,-.055,.034
10415,.094,-.021,.033
10430,.038,-.012,.027
10450,-.031,-.017,.011
10466,-.061,-.016,-.018
10488,-.078,-.012,-.047
10508,-.099,-.011,-.089
10527,-.104,-.015,-.134
10548,-.056,-.009,-.145
10567,.049,.009,-.128
10587,.132,.016,-.115
10610,.122,-.004,-.113
10626,.069,-.033,-.116
10646,.059,-.055,-.117
10666,.095,-.060,-.118
10682,.111,-.057,-.115
10707,.083,-.059,-.105
10721,.057,-.056,-.112
10742,.055,-.046,-.124
10761,.063,-.031,-.123
10789,.074,-.007,-.112
10803,.069,.007,-.102
10828,.049,.016,-.095
10838,.037,.031,-.093
10866,.018,.035,-.079
10882,.012,.039,-.051
10898,.026,.038,-.039
10923,.035,.034,-.034
10937,.001,.028,-.017
10962,-.037,.022,.000
10980,-.025,.032,.019
10994,.039,.046,.043
11013,.073,.050,.053
11035,.052,.039,.044
11059,.004,.017,.034
11086,-.032,.002,.027
11092,-.015,.001,.017
11119,.022,.010,.010
11131,.037,.012,.008
11153,.035,.012,.009
11172,.035,.011,-.001
11191,.035,.023,-.024
11215,.032,.033,-.018
11228,.024,.038,.020
11249,.037,.040,.043
11281,.030,.043,.043
11291,-.027,.038,.044
11308,-.095,.032,.033
11331,-.093,.031,.002
11353,-.047,.043,-.022
11371,.016,.061,-.027
11387,.037,.070,-.025
11406,.013,.062,-.019
11423,-.007,.050,-.013
11450,.013,.042,-.007
11464,.049,.038,-.001
11485,.065,.032,-.003
11502,.044,.024,-.007
11522,.016,.010,-.012
11542,-.003,.001,-.017
11561,-.003,.004,-.017
11585,.010,.012,-.014
11602,.005,.015,-.005
11620,-.025,.023,.015
11639,-.036,.031,.021
11657,-.010,.039,.008
11682,-.001,.043,-.007
11699,-.020,.042,-.019
11716,-.034,.043,-.033
11733,-.015,.050,-.044
11755,.023,.057,-.049
11784,.055,.061,-.047
11801,.054,.056,-.049
11820,.032,.049,-.061
11833,.005,.045,-.062
11858,-.032,.045,-.053
11883,-.208,.095,-.057
11894,-1.448,.443,-.052
11917,-4.725,.823,-.014
11931,-10.348,.494,-.465
11956,-15.790,-.837,-1.119
11977,-18.404,-1.668,-.832
11990,-18.135,-1.207,.166
12010,-16.820,-.525,.534
12029,-14.351,-.064,-.145
12054,-10.507,-.108,-.517
12066,-4.947,-.103,-.298
12087,1.117,-.214,-.337
12112,5.747,-.298,-.405
12125,9.507,.163,-.239
12152,13.968,1.131,.094
12170,19.673,.717,-.437
12184,24.023,.122,-.652
12201,26.376,.423,-1.042
12271,21.512,2.044,-1.671
12281,8.356,.594,-2.017
12285,-9.319,-.679,-.083
12313,-8.753,-.637,.469
12425,-6.072,.334,.083
12441,-6.690,.557,-.319
12458,-11.527,.013,-.182
12459,-16.142,-1.027,.099
12462,-19.387,-1.763,.413
12463,-20.035,-1.945,.330
12466,-17.757,-1.492,-.066
12467,-11.136,-.925,-.288
12495,-1.940,-.815,-.172
12500,4.390,-.343,.043
12531,6.887,.335,-.209
12539,7.330,.567,-.214
12554,8.284,.705,.263
12574,10.670,1.153,.579
12595,15.158,.575,.204
12612,18.516,-.458,-.525
12633,21.029,.114,-1.144
12652,19.870,2.123,-1.199
12673,12.408,1.553,-1.055
12694,3.127,.209,-.732
12712,-3.271,-.290,-.178
12731,-4.248,-.347,.177
12754,-1.125,.293,.063
12768,2.137,.656,-.239
12787,2.447,.654,-.228
12806,.429,.290,.125
12828,-1.305,-.084,.300
12854,-1.320,-.138,.208
12867,-.303,.021,.055
12896,.387,.150,.004
12910,.234,.137,.033
12924,-.263,.020,.086
12949,-.460,-.042,.130
12968,-.273,-.024,.142
12993,-.033,.005,.151
13005,-.042,-.010,.168
13023,-.266,-.078,.177
13042,-.471,-.140,.191
13062,-.561,-.177,.199
13087,-.556,-.202,.193
13105,-.414,-.204,.173
13120,-.185,-.154,.148
13147,-.083,-.104,.151
13164,-.175,-.100,.168
13177,-.304,-.101,.186
13196,-.348,-.077,.191
13229,-.313,-.053,.174
13252,-.262,-.022,.126
13256,-.179,.011,.060
13273,-.121,.038,.016
13293,-.141,.055,.003
13315,-.142,.048,-.009
13338,-.076,.048,-.039
13363,-.004,.057,-.047
13375,-.010,.035,-.030
13394,-.071,.004,-.039
13419,-.072,-.024,-.041
13437,-.010,-.023,-.029
13451,.050,-.020,-.025
13476,.065,-.032,-.018
13494,.050,-.037,-.003
13517,.035,-.035,.010
13528,.030,-.037,.025
13548,.051,-.034,.039
13567,.069,-.022,.043
13590,.046,-.013,.041
13608,.008,-.009,.022
13628,.018,.000,-.016
13644,.061,.011,-.049
13670,.087,.020,-.062
13684,.078,.033,-.069
13704,.077,.024,-.074
13729,.091,.005,-.071
13744,.107,-.011,-.053
13764,.089,-.023,-.036
13783,.059,-.038,-.009
13804,.049,-.038,.020
13823,.051,-.023,.037
13848,.038,.002,.054
13865,.023,.007,.074
13879,.026,.018,.069
13900,.004,.024,.055
13919,-.051,.023,.053
13938,-.064,.031,.020
13955,-.012,.046,-.031
13975,.049,.053,-.062
14004,.089,.050,-.079
14016,.089,.034,-.074
14033,.063,.012,-.045
14053,.057,-.009,-.023
14075,.050,-.024,-.014
14095,.012,-.044,.002
14122,-.011,-.054,.011
14133,-.004,-.046,.004
14159,.032,-.026,-.006
14172,.027,-.010,-.006
14191,.001,-.004,.005
14220,-.018,.005,.005
14239,-.032,.012,.010
14261,-.044,.020,.028
14272,-.031,.024,.042
14288,-.006,.046,.033
14308,-.007,.062,.010
14328,-.023,.057,-.014
14351,-.015,.059,-.041
14374,.010,.056,-.069
14388,.026,.042,-.078
14414,.018,.017,-.067
14435,.016,.002,-.060
14444,.021,-.015,-.038
14464,.015,-.029,-.014
14493,.005,-.038,-.007
14505,.010,-.037,.002
14531,.030,-.024,.026
14542,.038,-.006,.044
14561,.021,-.004,.059
14579,-.007,-.006,.064
14597,-.036,-.013,.045
14621,-.076,-.017,.025
14641,-.084,-.012,.026
14659,-.042,.002,.021
14680,.012,.010,-.001
14700,.005,.002,-.013
14717,-.040,-.012,-.012
14740,-.060,-.018,-.008
14759,-.033,-.013,-.001
14779,.022,-.004,-.008
14796,.033,-.007,-.022
14814,-.021,-.026,-.013
14835,-.087,-.034,.016
14857,-.097,-.021,.034
14874,-.078,.009,.060
14893,-.076,.022,.093
14922,-.076,.024,.110
14941,-.072,.020,.104
14954,-.054,.027,.092
14979,-.060,.024,.077
14991,-.084,.012,.047
15010,-.083,.013,.017
15031,-.051,.020,.006
15049,-.016,.024,.010
15068,.015,.032,.015
15089,.023,.038,.009
15113,.027,.026,-.007
15128,.041,.015,-.018
15146,.051,-.002,-.022
15172,.038,-.024,-.019
15185,.033,-.046,-.024
15227,.045,-.049,-.033
15228,.016,-.040,-.035
15247,-.067,-.048,-.027
15268,-.214,-.007,-.002
15282,-1.085,.255,.020
15302,-3.048,.345,.055
15324,-5.687,.043,.120
15342,-8.176,-.345,.069
15363,-10.662,-.522,-.025
15381,-13.527,-.610,.209
15406,-16.176,-.525,.592
15432,-17.159,-.678,.693
15439,-16.353,-.786,.573
15458,-12.208,-.605,.482
15478,-5.598,-.586,.246
15504,1.578,-.390,-.243
15530,6.774,-.108,-.492
15534,10.596,.497,-.700
15557,14.212,.908,-.513
15576,17.501,.270,-.484
15601,20.890,-.713,-.752
15622,23.288,.239,-1.434
15633,19.703,1.775,-1.704
15653,9.224,.319,-1.490
15674,-2.290,-.071,-.454
15693,-6.878,-1.041,.176
15713,-4.382,-.315,.507
15732,.293,.400,.014
15753,.789,.874,-.327
15771,-3.690,.789,.044
15793,-10.396,-.117,.347
15812,-15.855,-1.140,.427
15830,-19.335,-1.575,.549
15848,-20.694,-1.067,.510
15869,-19.553,-.910,.512
15886,-15.462,-.672,.340
15915,-9.080,-.506,.048
15931,-1.430,-.577,-.212
15949,4.708,-.404,-.145
15973,7.857,.160,-.270
15986,8.763,.615,-.484
16010,9.461,.905,-.305
16034,12.458,1.056,-.082
16045,15.719,-.436,-.410
16064,19.306,-.898,-1.102
16084,20.389,1.013,-1.532
16142,15.552,1.729,-1.366
16150,-.383,.120,-.491
16206,-3.836,-.524,-.069
16212,-2.694,-.250,-.034
16214,1.093,.335,-.341
16228,2.886,.705,-.553
16316,1.317,.420,-.284
16329,-.888,-.073,.103
16336,-1.268,-.210,.203
16337,-.215,-.066,.055
16338,.544,.084,-.047
16363,.269,.049,.010
16364,-.310,-.076,.100
16403,-.357,-.103,.135
16404,.013,-.021,.107
16413,.212,.013,.091
16438,.142,-.015,.092
16454,-.004,-.045,.092
16473,-.077,-.049,.082
16497,-.113,-.048,.064
16512,-.099,-.051,.054
