time,x,y,z
6403,-.150,.011,.147
6425,-.102,-.041,.061
6443,.010,-.065,-.002
6464,.020,-.075,-.060
6486,-.041,-.068,-.088
6506,-.057,-.046,-.096
6531,-.019,-.035,-.089
6542,.051,-.013,-.068
6559,.067,.000,-.059
6581,.017,.027,-.039
6601,-.027,.033,-.029
6628,.028,.057,-.007
6643,.023,.057,-.013
6667,.005,.041,-.028
6681,.018,.040,-.037
6702,-.008,.024,-.057
6731,-.002,.031,-.068
6745,-.019,.035,-.087
6765,-.019,.033,-.087
6780,-.022,.043,-.077
6801,-.082,.055,-.079
6830,-.098,.054,-.079
6844,-.063,.063,-.072
6864,-.087,.071,-.057
6891,-.139,.077,-.038
6902,-.184,.092,-.015
6928,-.188,.087,.000
6946,-.153,.088,.012
6961,-.170,.090,.021
6986,-.289,.095,.032
7006,-.431,.112,.039
7026,-.541,.114,.039
7038,-.558,.109,.016
7058,-.546,.070,.000
7079,-.460,.063,.000
7106,-.393,.068,.011
7127,-.375,.059,.005
7137,-.336,.055,-.012
7158,-.320,.062,-.026
7179,-.365,.082,-.028
7203,-.438,.090,-.026
7222,-.419,.079,-.013
7239,-.292,.065,-.008
7260,-.178,.053,.006
7278,-.172,.042,.009
7296,-.248,.047,-.001
7320,-.283,.044,-.029
7340,-.222,.048,-.054
7358,-.102,.047,-.056
7379,.023,.042,-.054
7400,.086,.046,-.070
7422,-.052,.059,-.088
7439,-.250,.068,-.120
7459,-.319,.029,-.120
7479,-.091,-.001,-.089
7497,.152,-.008,-.076
7520,.205,-.024,-.066
7542,.125,-.012,-.056
7556,.000,-.030,-.052
7581,.056,-.008,-.011
7604,.146,-.025,.023
7627,.215,-.034,.059
7638,.235,-.033,.088
7654,.204,-.031,.095
7676,.106,-.040,.076
7696,.012,-.039,.084
7714,-.043,-.039,.098
7741,-.038,-.055,.092
7760,-.003,-.055,.098
7776,.010,-.053,.104
7795,.015,-.051,.099
7819,.021,-.045,.097
7840,.021,-.046,.091
7861,.036,-.035,.080
7883,.023,-.022,.070
7896,-.017,-.012,.055
7920,-.023,-.004,.050
7940,.006,-.003,.042
7957,.020,-.022,.028
7982,-.006,-.025,.026
8000,-.038,-.024,.025
8022,-.046,-.007,.023
8034,-.035,-.003,.009
8055,-.010,.002,.001
8076,.009,.004,.005
8101,-.002,.005,-.002
8125,-.010,.015,-.011
8133,-.002,.021,-.012
8153,.001,.024,-.013
8176,.034,.036,-.018
8201,.075,.059,-.017
8226,.083,.055,-.046
8232,.083,.060,-.056
8253,.053,.087,-.055
8272,.043,.181,-.038
8293,.205,.319,.000
8311,.461,.407,.022
8334,.601,.236,-.107
8354,1.403,-.090,-.220
8374,2.208,-.251,-.216
8394,-1.160,.594,-.149
8413,-3.021,-.774,.188
8431,-.967,-.559,-.324
8452,1.541,.192,-.195
8472,.587,.065,-.252
8494,-.573,-.287,-.171
8516,-.166,-.182,.229
8532,-.160,-.172,.204
8552,-.568,-.210,.210
8572,-.585,-.233,.167
8599,-.311,-.120,.098
8618,-.148,-.014,.031
8631,-.154,.080,.098
8651,-.302,.057,.048
8676,-.249,.052,.016
8689,-.135,.048,-.006
8720,-.089,.106,-.012
8735,-.076,.231,-.054
8757,.036,.294,-.076
8776,.330,.245,-.155
8789,.880,.019,-.055
8815,2.005,-.406,.291
8835,-.049,.586,-.434
8872,-1.490,-.656,.088
8897,.585,.167,-.104
8908,.497,.054,-.245
8932,-.484,-.135,-.469
8957,-.391,-.260,.053
8973,.219,-.123,.244
8994,-.346,-.197,.132
9020,-.667,-.245,.015
9030,-.361,-.233,.121
9050,.240,-.146,-.082
9069,.580,.084,.086
9094,.296,.077,.060
9107,.095,.076,.015
9127,.056,.076,.009
9149,.065,.038,.012
9168,.100,.011,-.034
9189,.128,.024,-.016
9214,.064,.030,.018
9233,-.021,.035,.022
9252,-.038,.048,.016
9267,.021,.036,.014
9288,.034,.024,.028
9305,-.016,.029,.040
9326,-.025,.013,.037
9348,.018,.003,.040
9368,.020,-.006,.032
9387,-.017,-.015,.026
9405,.009,-.004,.022
9426,.009,-.006,-.001
9449,-.023,-.014,-.004
9467,-.033,-.015,-.004
9487,-.028,-.009,-.010
9507,.003,-.014,-.015
9527,.005,-.015,-.008
9547,.005,.003,-.005
9567,.006,.019,-.005
9585,.025,.024,.005
9611,.003,.044,-.002
9625,-.025,.048,-.004
9652,-.014,.049,-.012
9673,-.022,.053,-.027
9686,-.019,.054,-.033
9712,-.012,.047,-.034
9724,.011,.058,-.038
9750,-.013,.058,-.035
9763,-.028,.047,-.033
9782,-.013,.040,-.023
9810,-.007,.035,-.021
9832,-.022,.041,-.013
9860,-.021,.040,-.016
9862,.006,.044,-.016
9892,.012,.049,-.012
9904,.008,.046,-.005
9932,.022,.035,.004
9944,.016,.031,.009
9964,-.003,.033,.010
9985,.001,.027,.003
10014,-.008,.022,.009
10029,-.002,.014,.020
10049,.009,.010,.026
10064,.008,.016,.027
10085,.001,.020,.023
10108,.012,.014,.022
10127,.021,.009,.029
10143,.011,.013,.038
10164,.005,.018,.044
10184,.009,.013,.045
10204,.020,.010,.048
10230,-.001,.005,.048
10245,-.012,.005,.045
10266,-.014,.008,.044
10285,-.022,.016,.037
10305,-.017,.021,.025
10331,-.018,.035,.010
10343,-.014,.046,-.002
10363,-.017,.036,-.011
10383,.000,.019,-.011
10403,-.011,.010,-.004
10424,-.003,-.001,-.002
10439,-.010,-.009,-.004
10462,-.007,-.012,-.001
10480,-.001,-.007,.001
10499,-.001,-.014,-.002
10521,-.007,-.017,-.007
10543,-.022,-.013,-.017
10562,-.019,-.008,-.026
10581,-.002,.003,-.035
10602,.008,.011,-.040
10624,.000,.040,-.062
10644,-.021,.147,-.107
10662,.044,.346,-.094
10682,.075,.438,-.125
10702,.278,.421,-.248
10721,.528,.318,-.105
10747,.572,.192,-.401
10760,-2.036,.764,-.297
10786,-2.237,-.714,.298
10804,.363,-.448,-.087
10840,1.941,.345,-.181
10844,.814,.086,-.365
10860,-.662,-.548,-.210
10881,-.093,-.476,.178
10907,.084,-.433,.191
10930,-.715,-.483,.143
10941,-.873,-.430,.345
10959,-.651,-.404,-.028
10980,.010,-.028,.145
11000,.082,.041,.082
11029,-.068,.024,.000
11040,-.003,.032,-.015
11059,.238,.085,-.026
11083,.346,.230,-.029
11105,.310,.385,-.118
11126,.523,.438,-.040
11141,.703,.296,.007
11162,.561,.104,.021
11179,-.877,.775,-.568
11199,-2.228,-.489,-.171
11226,-.743,-.725,-.096
11244,1.245,-.008,-.208
11265,1.240,.390,-.475
11278,.386,-.260,-.524
11299,.508,-.442,.011
11319,.750,-.328,.138
11345,-.375,-.303,.205
11362,-.964,-.419,.266
11378,-.735,-.371,-.084
11401,.201,.106,.263
11424,.312,.142,.142
11435,.081,.126,.021
11463,-.072,.096,.098
11475,-.080,.070,.099
11496,-.138,.053,.059
11521,-.120,.051,.034
11540,-.109,.057,.065
11557,-.067,.041,.066
11577,.031,.032,.060
11598,.098,.037,.058
11620,.043,.019,.049
11640,-.019,.020,.065
11658,.016,.029,.095
11677,-.003,.013,.082
11698,-.030,-.001,.066
11719,-.017,-.006,.044
11742,-.047,-.019,.036
11762,-.035,-.022,.027
11783,.044,-.022,.022
11806,.025,-.031,.005
11829,-.019,-.040,-.004
11832,.012,-.030,.010
11856,.003,-.041,.011
11876,-.028,-.050,.014
11896,-.030,-.051,.010
11926,-.047,-.051,.011
11939,-.041,-.047,.028
11960,-.039,-.044,.031
11975,-.027,-.028,.028
11995,-.033,-.009,.027
12017,-.008,.016,.022
12035,.026,.032,.014
12059,.037,.038,-.006
12082,.065,.041,-.019
12102,.042,.026,-.030
12127,.025,.013,-.033
12131,.048,-.003,-.033
12155,.080,-.036,-.028
12175,.078,-.057,-.018
12201,.045,-.069,-.018
12225,.010,-.073,-.017
12234,-.013,-.075,-.023
12255,-.003,-.061,-.024
12273,.051,-.042,-.015
12301,.016,-.042,-.012
12322,-.023,-.035,-.011
12333,-.045,-.035,-.007
12352,-.056,-.029,-.010
12373,-.073,-.030,-.002
12396,-.110,-.019,.011
12425,-.105,-.009,.015
12434,-.055,-.003,.014
12455,.003,.009,.009
12473,.054,.009,-.002
12492,.071,.007,-.017
12511,.020,-.004,-.028
12532,-.022,-.007,-.032
12552,-.008,.000,-.038
12573,.026,.010,-.039
12591,.048,.013,-.034
12612,.037,-.002,-.023
12633,.021,-.007,-.007
12653,.018,-.008,.009
12673,.029,.000,.015
12691,.028,.015,.020
12713,-.005,.031,.011
12733,-.045,.043,.005
12752,-.016,.046,.007
12771,.006,.040,.021
12803,.027,.030,.025
12812,.031,.014,.025
12832,.006,.000,.020
12858,-.022,-.006,.027
12875,-.027,.058,.018
12891,.127,.328,.093
12919,-.002,.665,.087
12937,-.574,.442,-.228
12955,-.208,.093,-.353
12974,1.554,-.531,-.255
12990,-.584,1.172,-.297
13011,-1.296,-.941,.104
13037,.180,-.568,-.198
13055,1.555,.121,-.439
13077,.876,-.312,-.406
13097,.698,-.343,.083
13113,.781,-.325,.036
13138,.240,-.296,.141
13152,-.429,-.332,.280
13177,-.368,-.208,.310
13188,-.326,-.141,.115
13213,-.192,.115,.304
13235,-.270,.126,.181
13257,-.525,.074,.178
13276,-.583,.033,.191
13296,-.396,.025,.204
13317,-.233,.119,.161
13327,-.255,.328,.114
13354,-.519,.308,-.171
13372,-.495,.167,-.349
13389,.475,-.158,-.243
13407,-.603,1.203,-.243
13427,-.737,-.560,-.011
13452,.579,-.596,-.337
13467,1.461,.181,-.148
13494,.814,-.114,-.843
13515,.557,-.459,-.035
13525,1.004,-.378,-.039
13545,.249,-.326,.054
13564,-.529,-.339,.252
13585,-1.044,-.108,-.002
13606,-.496,.229,.097
13626,.054,.305,.108
13645,.058,.273,.056
13668,-.258,.207,.119
13685,-.317,.129,.103
13707,-.237,.088,.091
13727,-.178,.064,.058
13750,-.143,.036,.048
13771,-.084,.011,.026
13791,-.006,-.002,-.002
13805,.017,.013,.000
13826,.006,.024,.006
13852,-.008,.015,.009
13873,.016,.048,.028
13893,.095,.053,.049
13911,.154,.065,.066
13923,.109,.057,.066
13951,.062,.057,.066
13964,.022,.058,.055
13991,-.021,.051,.042
14003,-.001,.068,.037
14028,.011,.073,.018
14049,.028,.059,.015
14065,.047,.040,.012
14085,.014,.019,.033
14109,-.038,.003,.043
14125,-.061,-.004,.051
14145,-.022,-.017,.055
14171,-.001,-.022,.061
14184,-.024,-.015,.066
14201,-.046,-.012,.048
14226,-.024,-.004,.036
14249,-.003,.004,.018
14270,-.012,.009,.012
14290,-.014,.007,.020
14304,-.025,.002,.027
14336,-.041,-.002,.044
14345,-.049,-.007,.049
14368,-.069,-.003,.043
14385,-.080,.000,.055
14405,-.100,-.003,.075
14427,-.060,-.015,.105
14443,-.003,-.019,.106
14468,.015,-.006,.094
14483,-.008,.020,.091
14504,-.014,.044,.078
14526,-.008,.059,.062
14549,.025,.062,.045
14562,.047,.054,.033
14583,.018,.048,.036
14603,.003,.040,.038
14623,-.018,.025,.049
14644,-.014,.013,.061
14664,-.010,.009,.059
14683,-.025,.009,.058
14704,-.030,.011,.058
14725,-.033,.015,.050
14744,-.030,.018,.042
14774,-.044,.027,.033
14783,-.043,.038,.025
14806,-.024,.047,.021
14824,-.018,.043,.022
14841,-.014,.036,.022
14867,-.011,.024,.022
