time,x,y,z
8254,.152,.022,-.252
8273,.301,-.070,-.265
8294,.638,-.281,-.885
8312,.817,-.529,-2.328
8334,.526,-.092,-3.187
8354,-.385,-2.170,-1.712
8373,1.213,-1.419,.059
8393,-2.141,.866,12.897
8413,-3.738,7.732,.758
8433,-.588,.786,-4.106
8453,2.851,-5.008,-3.264
8473,.619,.524,2.522
8493,-4.119,2.256,3.032
8516,-.120,-1.517,.250
8533,1.179,.259,-.612
8552,-.085,2.013,-.451
8571,-.250,.975,.025
8598,1.071,.062,-1.203
8620,.115,-1.020,-1.313
8632,.591,-1.014,-1.026
8652,-.040,.296,-.308
8676,-.145,-.287,-.055
8692,.127,-.479,-.060
8722,.080,-.412,.083
8734,.472,-.023,-.274
8757,.940,-.335,-1.620
8778,.549,-1.062,-2.528
8791,.789,-1.385,-1.603
8816,.976,-.430,1.662
8836,-3.127,1.461,5.988
8872,-3.290,4.647,-2.809
8874,-.359,-.107,-1.128
8896,2.739,-3.186,-3.928
8911,.198,.110,.843
8931,-2.439,2.394,3.010
8957,-1.352,.084,3.157
8975,1.283,-1.927,-.997
8995,.375,2.975,-.419
9021,-.302,1.719,-.465
9031,.888,.203,-.717
9050,.299,-.840,-.740
9070,.885,-2.476,-1.853
9094,.332,.558,-.598
9109,-.170,.966,-.256
9128,.022,.412,-.116
9149,-.042,.093,-.129
9167,-.373,-.022,.359
9190,-.105,-.251,.673
9215,.049,.114,.603
9234,.050,.546,.400
9253,.059,.408,.160
9268,.061,.359,-.151
9289,-.007,.170,.022
9307,.070,.343,.398
9329,-.153,.151,.339
9349,-.104,-.044,.380
9368,.062,.267,.197
9389,-.047,.192,.115
9407,-.033,.018,.343
9428,.061,.178,-.158
9448,-.113,.001,.118
9468,-.015,.098,.418
9489,.092,.174,.101
9508,.004,.063,-.095
9528,-.023,.109,.158
9549,.145,.279,.095
9568,.190,.195,-.130
9587,.058,.138,-.084
9612,.166,.197,-.021
9627,-.043,.094,-.039
9652,.004,-.009,-.051
9674,.070,.051,.256
9689,-.019,.025,.108
9712,.101,.073,.146
9726,.067,.166,.202
9751,.095,.084,.065
9767,-.047,.073,.262
9786,.031,.059,.318
9813,.037,.119,.164
9833,.039,.225,.140
9860,.114,.194,.066
9864,.059,.043,.050
9891,.061,.021,-.026
9905,-.048,-.005,.124
9933,-.068,.079,.087
9944,-.050,.004,.131
9965,-.070,.102,.016
9986,-.095,.075,-.068
10013,-.023,.009,.092
10030,-.011,.065,.140
10050,.028,.070,.061
10065,.002,.029,.073
10085,-.008,.079,-.022
10109,-.043,.069,.062
10128,-.012,.072,.042
10146,.041,.267,.041
10165,.107,.164,.030
10184,.068,.212,-.008
10205,.114,.081,-.026
10232,.083,.092,-.127
10246,.034,.059,-.016
10267,.131,.041,-.025
10284,.041,.052,.105
10306,.159,.054,-.037
10333,.123,.092,-.017
10345,.156,.018,-.031
10365,.051,.090,-.002
10384,.034,.008,.151
10403,.077,.066,.201
10424,.088,.092,.093
10442,.069,.035,-.008
10463,.037,.058,.104
10484,.109,.070,.035
10503,-.004,.115,-.031
10522,.007,.033,.100
10543,-.037,.046,.105
10561,.014,-.008,-.010
10583,.037,.035,.018
10603,.034,.097,-.010
10626,-.065,.066,-.264
10643,.215,-.084,-.611
